,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Plays,Playing,Backlogs,Wishlist
899,3990,FIFA 14,PSV,2013,Sports,Electronic Arts,0.11,0.25,0.01,0.13,0.5,2013-09-24,"EA Sports, EA Canada",3.2,92.0,92.0,Sport,2200.0,8.0,52.0,13.0
900,3994,Metal Gear Rising: Revengeance,X360,2013,Action,Konami Digital Entertainment,0.29,0.16,0.0,0.04,0.5,2013-02-19,"Konami, PlatinumGames",4.1,2100.0,2100.0,"Adventure, Brawler, Shooter, Strategy",14000.0,492.0,4200.0,2000.0
901,3994,Metal Gear Rising: Revengeance,X360,2013,Action,Konami Digital Entertainment,0.29,0.16,0.0,0.04,0.5,2013-02-19,"Konami, PlatinumGames",4.1,2100.0,2100.0,"Adventure, Brawler, Shooter, Strategy",14000.0,492.0,4200.0,2000.0
902,3994,Metal Gear Rising: Revengeance,X360,2013,Action,Konami Digital Entertainment,0.29,0.16,0.0,0.04,0.5,2013-02-19,"Konami, PlatinumGames",4.1,2100.0,2100.0,"Adventure, Brawler, Shooter, Strategy",14000.0,492.0,4200.0,2000.0
903,4014,The Evil Within,X360,2014,Action,Bethesda Softworks,0.25,0.2,0.01,0.04,0.5,2014-10-14,"Tango Gameworks, Bethesda Softworks",3.4,629.0,629.0,"Adventure, Shooter",4800.0,140.0,1800.0,822.0
904,4032,Lollipop Chainsaw,X360,2012,Action,Warner Bros. Interactive Entertainment,0.31,0.13,0.02,0.04,0.49,2012-06-12,"Grasshopper Manufacture, WB Games",3.4,295.0,295.0,Brawler,1600.0,32.0,717.0,695.0
905,4034,Sonic Lost World,3DS,2013,Platform,Sega,0.24,0.15,0.07,0.03,0.49,2013-10-18,"Nintendo, Sonic Team",2.5,395.0,395.0,"Adventure, Platform",2500.0,34.0,498.0,214.0
906,4053,Terraria,PS3,2013,Action,505 Games,0.07,0.26,0.09,0.07,0.49,2011-05-16,"Re-Logic, Headup Games",4.0,1300.0,1300.0,"Adventure, Indie, Platform, RPG, Strategy",18000.0,673.0,2200.0,593.0
907,4058,LEGO Marvel Super Heroes,DS,2013,Action,Warner Bros. Interactive Entertainment,0.28,0.17,0.0,0.04,0.49,2013-09-30,"WB Games, ""Travellers Tales""",3.6,522.0,522.0,"Adventure, Brawler, Puzzle",6000.0,65.0,592.0,126.0
908,4058,LEGO Marvel Super Heroes,DS,2013,Action,Warner Bros. Interactive Entertainment,0.28,0.17,0.0,0.04,0.49,2013-09-30,"WB Games, ""Travellers Tales""",3.6,522.0,522.0,"Adventure, Brawler, Puzzle",6000.0,65.0,592.0,126.0
909,4065,Crazy Taxi,GC,2001,Racing,Acclaim Entertainment,0.36,0.09,0.02,0.01,0.49,1999-02-12,"Sega, Hitmaker",3.6,425.0,425.0,"Arcade, Racing",4800.0,19.0,556.0,227.0
910,4077,Crash of the Titans,DS,2007,Action,Vivendi Games,0.42,0.02,0.0,0.04,0.49,2007-10-04,"Radical Entertainment, Sierra Entertainment",3.0,200.0,200.0,"Adventure, Platform",3800.0,18.0,196.0,122.0
